Text,ground_label,modality
not everyone can pull off a vest.,Flaunt,Text+Video+Audio
"uh, my break's almost over.",Inform,Text
"hey, actually, to use the employee bathroom?",Confirm,Text
"i mean, we have porta-potties, but, uh, you know, kinda gross, so...",Explain,Text
"uh, yeah, yeah.",Agree,Text+Video
of course. not a problem at Text+Video+Audio.,Agree,Text
thanks.,Thank,Text
you're the best.,Praise,Text
it's happening!,Flaunt,Text+Video+Audio
uh-huh.,Acknowledge,Text
"just that... you know, sometimes people flirt with people to get stuff.",Explain,Text
"yeah, well, that's not what's happening here, so...",Oppose,Text
"i'm sorry. you're right, i don't.",Apologise,Text
thank you.,Thank,Text
"oh, aren't you sweet?",Praise,Text
wanna hear a secret?,Confirm,Text+Video+Audio
sure.,Agree,Text
i'm sorry. i don't know who--,Apologise,Text
sandra's boyfriend.,Introduce,Text
"well, my boyfriend that she stole from me.",Criticize,Text+Video+Audio
you don't want to hear the rest?,Confirm,Text+Video+Audio
"yeah, sure, sure.",Acknowledge,Text+Video+Audio
"okay, well, first of Text+Video+Audio, you need to calm down.",Advise,Text
"basicText+Video+Audioy, dina and i decided together to break up.",Inform,Text
"oh, yes, sorry, continue.",Apologise,Text
"got it, okay, so...unh. let's unpack this.",Advise,Text+Video
that's exactly what i just said.,Emphasize,Text
"okay. that's a toughie. that is a tough, tough toughie.",Complain,Text+Video+Audio
"okay, this isn't gonna work.",Leave,Text+Video+Audio
"wait, no, no, no, no! i can do better.",Prevent,Text+Video
i wanted to say good job today.,Praise,Text
"i mean, i'm not even totText+Video+Audioy sure what go-backs are.",Explain,Text
you did great.,Praise,Text
"yeah. just, tomorrow, 'cause that way, you'll get paid.",Inform,Audio
"we got robbed, home depot got robbed, that weird store that only makes copies got robbed.",Complain,Text
i'm scared to even walk to my car alone at night.,Complain,Text
that is why everyone gets a rape whistle.,Inform,Audio
so everyone gets a rape kazoo.,Inform,Text
i also think we need parking lot buddies so that no one has to walk to their car alone at night.,Advise,Text+Video+Audio
i'll be paired with anyone but sarah.,Inform,Text
"wait, we're talking about picking boyfriends, right?",Confirm,Text
i'll take justine.,Inform,Audio
the robbers will probably kill her before they kill me.,Explain,Text+Video+Audio
"since i don't drive, could you assign someone to walk me to the bus stop and wait with me?",Ask for help,Text
"can i be paired with mateo, actuText+Video+Audioy?",Confirm,Text
"oh, you guys do a trivia night?",Doubt,Text+Video+Audio
that sounds fun.,Praise,Text
garrett mocked you so hard for that.,Taunt,Text+Video+Audio
"so, like, almost everyone goes to this trivia night?",Confirm,Text
i love trivia.,Inform,Audio
sorry.,Apologise,Text
"nice to get off early, huh?",Greet,Text+Video+Audio
what to do?,Asking for opinions,Text+Video+Audio
seriously? you guys invited that girl?,Doubt,Text
i am way smarter than that girl.,Flaunt,Text
'cause we figured you weren't interested.,Explain,Text
"oh, like i would say no to trivia night.",Complain,Audio+Video
i said no because i was married and i had emma to look after.,Explain,Text
"but now i'm separated and emma has her own thing, and i spend most of my nights by myself and i would reText+Video+Audioy just like to have a social life again.",Complain,Audio+Video
"okay, great. just come to trivia night.",Invite,Text
i will. thank you.,Thank,Text
"okay, we'll see you at 10.",Invite,Text+Video+Audio
"bye! wait, uh, what--10:00 p.m.?",Confirm,Text
i'm so tired.,Complain,Text
"hey, parking lot buddy. ready to go wait at the bus stop with me?",Confirm,Text+Video+Audio
"yeah, i did say that. yeah.",Agree,Text
okay.,Agree,Text+Video+Audio
who are you? beyoncé?,Confirm,Text+Video+Audio
selena.,Introduce,Text+Video+Audio
"wait, you mean creepy sal?",Confirm,Text
the man is dead.,Inform,Audio
police said he's been dead for at least a year.,Inform,Text
are you crying?,Confirm,Text+Video+Audio
"apparently he was doing some work behind the drywText+Video+Audio outside the women's washroom and then his foot got caught in a beam, and he starved to death.",Inform,Text
he drilled a hole into the women's washroom so...,Inform,Text
why?,Doubt,Text
why--why me?,Doubt,Text+Video+Audio
"'cause, you know...",Explain,Text
i'm sure there's a lot of churn going on in there.,Taunt,Text+Video+Audio
"wait, so it's just going to sit in the store?",Doubt,Text
uh...   i'm not working next to a dead body.,Taunt,Text+Video+Audio
technicText+Video+Audioy we've Text+Video+Audio been working next sal's dead body for the past year.,Inform,Text
actuText+Video+Audioy he still had both of his feet.,Oppose,Text+Video+Audio
what about maxine?,Care,Text+Video+Audio
"nah, i don't trust anybody who opens their eyes that wide.",Oppose,Text
yeah. pass.,Agree,Text
no.,Oppose,Text
"and even if i were, i wouldn't be using an app.",Oppose,Text+Video
"it actuText+Video+Audioy gets to be kind of fun, you know.",Introduce,Text+Video+Audio
"you just swipe right for yes, left for no, see?",Introduce,Text+Video+Audio
"oh, hello, jessicah...",Greet,Text
"come on, so this is just like where she's baking cupcakes in a rams jersey.",Taunt,Text+Video+Audio
a bowling action shot?,Doubt,Text+Video+Audio
"well, clearly she's just trying to show off her cleavage.",Taunt,Text
"oh, gross.",Complain,Text+Video
i need your help.,Ask for help,Text
"okay, uh...",Agree,Text+Video+Audio
okay.,Leave,Text+Video+Audio
"wait, this one's just a picture of margot robbie.",Introduce,Text+Video+Audio
are they Text+Video+Audioowed to do that?,Doubt,Text
is that kelly?,Confirm,Text
"hey, girl. go get it.",Advise,Text+Video+Audio
